geometry,file
"BoundingBox(left=-13171966.0, bottom=4550115.0, right=-13158466.0, top=4563615.0)",gridcell_161
"BoundingBox(left=-13158466.0, bottom=4550115.0, right=-13144966.0, top=4563615.0)",gridcell_162
"BoundingBox(left=-12888466.0, bottom=4550115.0, right=-12874966.0, top=4563615.0)",gridcell_182
"BoundingBox(left=-12874966.0, bottom=4550115.0, right=-12861466.0, top=4563615.0)",gridcell_183
"BoundingBox(left=-12861466.0, bottom=4550115.0, right=-12847966.0, top=4563615.0)",gridcell_184
"BoundingBox(left=-12847966.0, bottom=4550115.0, right=-12834466.0, top=4563615.0)",gridcell_185
"BoundingBox(left=-12834466.0, bottom=4550115.0, right=-12820966.0, top=4563615.0)",gridcell_186
"BoundingBox(left=-12820966.0, bottom=4550115.0, right=-12807466.0, top=4563615.0)",gridcell_187
"BoundingBox(left=-12807466.0, bottom=4550115.0, right=-12793966.0, top=4563615.0)",gridcell_188
"BoundingBox(left=-12793966.0, bottom=4550115.0, right=-12780466.0, top=4563615.0)",gridcell_189
"BoundingBox(left=-12780466.0, bottom=4550115.0, right=-12766966.0, top=4563615.0)",gridcell_190
"BoundingBox(left=-12766966.0, bottom=4550115.0, right=-12753466.0, top=4563615.0)",gridcell_191
"BoundingBox(left=-12753466.0, bottom=4550115.0, right=-12739966.0, top=4563615.0)",gridcell_192
"BoundingBox(left=-12739966.0, bottom=4550115.0, right=-12726466.0, top=4563615.0)",gridcell_193
"BoundingBox(left=-13239466.0, bottom=4536615.0, right=-13225966.0, top=4550115.0)",gridcell_208
"BoundingBox(left=-13225966.0, bottom=4536615.0, right=-13212466.0, top=4550115.0)",gridcell_209
"BoundingBox(left=-13212466.0, bottom=4536615.0, right=-13198966.0, top=4550115.0)",gridcell_210
"BoundingBox(left=-13198966.0, bottom=4536615.0, right=-13185466.0, top=4550115.0)",gridcell_211
"BoundingBox(left=-13185466.0, bottom=4536615.0, right=-13171966.0, top=4550115.0)",gridcell_212
"BoundingBox(left=-13171966.0, bottom=4536615.0, right=-13158466.0, top=4550115.0)",gridcell_213
"BoundingBox(left=-13158466.0, bottom=4536615.0, right=-13144966.0, top=4550115.0)",gridcell_214
"BoundingBox(left=-12928966.0, bottom=4536615.0, right=-12915466.0, top=4550115.0)",gridcell_231
"BoundingBox(left=-12915466.0, bottom=4536615.0, right=-12901966.0, top=4550115.0)",gridcell_232
"BoundingBox(left=-12901966.0, bottom=4536615.0, right=-12888466.0, top=4550115.0)",gridcell_233
"BoundingBox(left=-12888466.0, bottom=4536615.0, right=-12874966.0, top=4550115.0)",gridcell_234
"BoundingBox(left=-12874966.0, bottom=4536615.0, right=-12861466.0, top=4550115.0)",gridcell_235
"BoundingBox(left=-12861466.0, bottom=4536615.0, right=-12847966.0, top=4550115.0)",gridcell_236
"BoundingBox(left=-12847966.0, bottom=4536615.0, right=-12834466.0, top=4550115.0)",gridcell_237
"BoundingBox(left=-12834466.0, bottom=4536615.0, right=-12820966.0, top=4550115.0)",gridcell_238
"BoundingBox(left=-12820966.0, bottom=4536615.0, right=-12807466.0, top=4550115.0)",gridcell_239
"BoundingBox(left=-12807466.0, bottom=4536615.0, right=-12793966.0, top=4550115.0)",gridcell_240
"BoundingBox(left=-12793966.0, bottom=4536615.0, right=-12780466.0, top=4550115.0)",gridcell_241
"BoundingBox(left=-12780466.0, bottom=4536615.0, right=-12766966.0, top=4550115.0)",gridcell_242
"BoundingBox(left=-12766966.0, bottom=4536615.0, right=-12753466.0, top=4550115.0)",gridcell_243
"BoundingBox(left=-12753466.0, bottom=4536615.0, right=-12739966.0, top=4550115.0)",gridcell_244
"BoundingBox(left=-12739966.0, bottom=4536615.0, right=-12726466.0, top=4550115.0)",gridcell_245
"BoundingBox(left=-13239466.0, bottom=4523115.0, right=-13225966.0, top=4536615.0)",gridcell_260
"BoundingBox(left=-13225966.0, bottom=4523115.0, right=-13212466.0, top=4536615.0)",gridcell_261
"BoundingBox(left=-13212466.0, bottom=4523115.0, right=-13198966.0, top=4536615.0)",gridcell_262
"BoundingBox(left=-13198966.0, bottom=4523115.0, right=-13185466.0, top=4536615.0)",gridcell_263
"BoundingBox(left=-13185466.0, bottom=4523115.0, right=-13171966.0, top=4536615.0)",gridcell_264
"BoundingBox(left=-13171966.0, bottom=4523115.0, right=-13158466.0, top=4536615.0)",gridcell_265
"BoundingBox(left=-13158466.0, bottom=4523115.0, right=-13144966.0, top=4536615.0)",gridcell_266
"BoundingBox(left=-13144966.0, bottom=4523115.0, right=-13131466.0, top=4536615.0)",gridcell_267
"BoundingBox(left=-13131466.0, bottom=4523115.0, right=-13117966.0, top=4536615.0)",gridcell_268
"BoundingBox(left=-13117966.0, bottom=4523115.0, right=-13104466.0, top=4536615.0)",gridcell_269
"BoundingBox(left=-13104466.0, bottom=4523115.0, right=-13090966.0, top=4536615.0)",gridcell_270
"BoundingBox(left=-13090966.0, bottom=4523115.0, right=-13077466.0, top=4536615.0)",gridcell_271
"BoundingBox(left=-13077466.0, bottom=4523115.0, right=-13063966.0, top=4536615.0)",gridcell_272
"BoundingBox(left=-13063966.0, bottom=4523115.0, right=-13050466.0, top=4536615.0)",gridcell_273
"BoundingBox(left=-13050466.0, bottom=4523115.0, right=-13036966.0, top=4536615.0)",gridcell_274
"BoundingBox(left=-13036966.0, bottom=4523115.0, right=-13023466.0, top=4536615.0)",gridcell_275
"BoundingBox(left=-13023466.0, bottom=4523115.0, right=-13009966.0, top=4536615.0)",gridcell_276
"BoundingBox(left=-13009966.0, bottom=4523115.0, right=-12996466.0, top=4536615.0)",gridcell_277
"BoundingBox(left=-12942466.0, bottom=4523115.0, right=-12928966.0, top=4536615.0)",gridcell_282
"BoundingBox(left=-12928966.0, bottom=4523115.0, right=-12915466.0, top=4536615.0)",gridcell_283
"BoundingBox(left=-12915466.0, bottom=4523115.0, right=-12901966.0, top=4536615.0)",gridcell_284
"BoundingBox(left=-12901966.0, bottom=4523115.0, right=-12888466.0, top=4536615.0)",gridcell_285
"BoundingBox(left=-12888466.0, bottom=4523115.0, right=-12874966.0, top=4536615.0)",gridcell_286
"BoundingBox(left=-12874966.0, bottom=4523115.0, right=-12861466.0, top=4536615.0)",gridcell_287
"BoundingBox(left=-12861466.0, bottom=4523115.0, right=-12847966.0, top=4536615.0)",gridcell_288
"BoundingBox(left=-12847966.0, bottom=4523115.0, right=-12834466.0, top=4536615.0)",gridcell_289
"BoundingBox(left=-12834466.0, bottom=4523115.0, right=-12820966.0, top=4536615.0)",gridcell_290
"BoundingBox(left=-12820966.0, bottom=4523115.0, right=-12807466.0, top=4536615.0)",gridcell_291
"BoundingBox(left=-12807466.0, bottom=4523115.0, right=-12793966.0, top=4536615.0)",gridcell_292
"BoundingBox(left=-12793966.0, bottom=4523115.0, right=-12780466.0, top=4536615.0)",gridcell_293
"BoundingBox(left=-12780466.0, bottom=4523115.0, right=-12766966.0, top=4536615.0)",gridcell_294
"BoundingBox(left=-12766966.0, bottom=4523115.0, right=-12753466.0, top=4536615.0)",gridcell_295
"BoundingBox(left=-12753466.0, bottom=4523115.0, right=-12739966.0, top=4536615.0)",gridcell_296
"BoundingBox(left=-12739966.0, bottom=4523115.0, right=-12726466.0, top=4536615.0)",gridcell_297
"BoundingBox(left=-12726466.0, bottom=4523115.0, right=-12712966.0, top=4536615.0)",gridcell_298
"BoundingBox(left=-12712966.0, bottom=4523115.0, right=-12699466.0, top=4536615.0)",gridcell_299
"BoundingBox(left=-12699466.0, bottom=4523115.0, right=-12685966.0, top=4536615.0)",gridcell_300
"BoundingBox(left=-12685966.0, bottom=4523115.0, right=-12672466.0, top=4536615.0)",gridcell_301
"BoundingBox(left=-12672466.0, bottom=4523115.0, right=-12658966.0, top=4536615.0)",gridcell_302
